
{'Accuracy': 0.6602380871772766, 'F1_Score': 0.43215280771255493, 'Recall': 0.7757142782211304, 'Precision': 0.2995035946369171, 'AUC': 0.7806293964385986}
{'Accuracy': 0.6585714221000671, 'F1_Score': 0.426858514547348, 'Recall': 0.7628571391105652, 'Precision': 0.29633739590644836, 'AUC': 0.7698085308074951}
{'Accuracy': 0.6602380871772766, 'F1_Score': 0.43395477533340454, 'Recall': 0.7814285755157471, 'Precision': 0.30038440227508545, 'AUC': 0.7787412405014038}
{'Accuracy': 0.663095235824585, 'F1_Score': 0.43422630429267883, 'Recall': 0.7757142782211304, 'Precision': 0.3014991581439972, 'AUC': 0.7786942720413208}
{'Accuracy': 0.651190459728241, 'F1_Score': 0.4243614971637726, 'Recall': 0.7714285850524902, 'Precision': 0.2926829159259796, 'AUC': 0.7748399972915649}
{'Accuracy': 0.6471428275108337, 'F1_Score': 0.4237947165966034, 'Recall': 0.7785714268684387, 'Precision': 0.29113247990608215, 'AUC': 0.7766679525375366}
{'Accuracy': 0.653333306312561, 'F1_Score': 0.4294670820236206, 'Recall': 0.7828571200370789, 'Precision': 0.2958963215351105, 'AUC': 0.7782152891159058}
{'Accuracy': 0.6635714173316956, 'F1_Score': 0.4332129955291748, 'Recall': 0.7714285850524902, 'Precision': 0.301171213388443, 'AUC': 0.7805869579315186}
{'Accuracy': 0.6566666960716248, 'F1_Score': 0.4318360984325409, 'Recall': 0.7828571200370789, 'Precision': 0.2981501519680023, 'AUC': 0.7762428522109985}
{'Accuracy': 0.665238082408905, 'F1_Score': 0.43214863538742065, 'Recall': 0.7642857432365417, 'Precision': 0.3012387454509735, 'AUC': 0.7756800055503845}
{'Accuracy': 0.654285728931427, 'F1_Score': 0.4287962317466736, 'Recall': 0.7785714268684387, 'Precision': 0.29587405920028687, 'AUC': 0.7783889770507812}
{'Accuracy': 0.6540476083755493, 'F1_Score': 0.4295249283313751, 'Recall': 0.7814285755157471, 'Precision': 0.2961559295654297, 'AUC': 0.7759996056556702}
{'Accuracy': 0.6583333611488342, 'F1_Score': 0.43078142404556274, 'Recall': 0.7757142782211304, 'Precision': 0.29818782210350037, 'AUC': 0.7799093723297119}
{'Accuracy': 0.6583333611488342, 'F1_Score': 0.43347808718681335, 'Recall': 0.7842857241630554, 'Precision': 0.2995089888572693, 'AUC': 0.7794522643089294}
{'Accuracy': 0.6614285707473755, 'F1_Score': 0.43256184458732605, 'Recall': 0.7742857336997986, 'Precision': 0.30011072754859924, 'AUC': 0.7770167589187622}
{'Accuracy': 0.6454761624336243, 'F1_Score': 0.42620423436164856, 'Recall': 0.7900000214576721, 'Precision': 0.29182058572769165, 'AUC': 0.7778147459030151}
{'Accuracy': 0.6604762077331543, 'F1_Score': 0.43096569180488586, 'Recall': 0.7714285850524902, 'Precision': 0.29900333285331726, 'AUC': 0.777452290058136}
{'Accuracy': 0.654285728931427, 'F1_Score': 0.42744478583335876, 'Recall': 0.7742857336997986, 'Precision': 0.2952069640159607, 'AUC': 0.7742922306060791}
{'Accuracy': 0.6545237898826599, 'F1_Score': 0.4294140636920929, 'Recall': 0.7799999713897705, 'Precision': 0.29625609517097473, 'AUC': 0.7813848853111267}
{'Accuracy': 0.6569047570228577, 'F1_Score': 0.43020957708358765, 'Recall': 0.7771428823471069, 'Precision': 0.29743027687072754, 'AUC': 0.7755177617073059}
{'Accuracy': 0.6604762077331543, 'F1_Score': 0.4282277524471283, 'Recall': 0.7628571391105652, 'Precision': 0.29765886068344116, 'AUC': 0.7754977345466614}
{'Accuracy': 0.6633333563804626, 'F1_Score': 0.4330393075942993, 'Recall': 0.7714285850524902, 'Precision': 0.3010033369064331, 'AUC': 0.7783350944519043}
{'Accuracy': 0.6621428728103638, 'F1_Score': 0.43533626198768616, 'Recall': 0.7814285755157471, 'Precision': 0.3017098605632782, 'AUC': 0.7754287719726562}
{'Accuracy': 0.6592857241630554, 'F1_Score': 0.4301075339317322, 'Recall': 0.7714285850524902, 'Precision': 0.2981778085231781, 'AUC': 0.77812659740448}
{'Accuracy': 0.6578571200370789, 'F1_Score': 0.4349193871021271, 'Recall': 0.7900000214576721, 'Precision': 0.30005425214767456, 'AUC': 0.7817163467407227}
{'Accuracy': 0.6614285707473755, 'F1_Score': 0.4357142746448517, 'Recall': 0.7842857241630554, 'Precision': 0.30164834856987, 'AUC': 0.7817735075950623}
{'Accuracy': 0.6530952453613281, 'F1_Score': 0.42929887771606445, 'Recall': 0.7828571200370789, 'Precision': 0.2957366406917572, 'AUC': 0.7787510752677917}
{'Accuracy': 0.6588095426559448, 'F1_Score': 0.4311234652996063, 'Recall': 0.7757142782211304, 'Precision': 0.2985156774520874, 'AUC': 0.7749330401420593}
{'Accuracy': 0.6554762125015259, 'F1_Score': 0.42602142691612244, 'Recall': 0.7671428322792053, 'Precision': 0.29489290714263916, 'AUC': 0.7742183208465576}
{'Accuracy': 0.6516666412353516, 'F1_Score': 0.4246952533721924, 'Recall': 0.7714285850524902, 'Precision': 0.29300054907798767, 'AUC': 0.7769171595573425}
{'Accuracy': 0.6499999761581421, 'F1_Score': 0.42712393403053284, 'Recall': 0.7828571200370789, 'Precision': 0.29367631673812866, 'AUC': 0.7769138813018799}
{'Accuracy': 0.654285728931427, 'F1_Score': 0.42969363927841187, 'Recall': 0.7814285755157471, 'Precision': 0.29631635546684265, 'AUC': 0.7770028710365295}
{'Accuracy': 0.6578571200370789, 'F1_Score': 0.43224021792411804, 'Recall': 0.7814285755157471, 'Precision': 0.2987438440322876, 'AUC': 0.7769036293029785}
{'Accuracy': 0.6619047522544861, 'F1_Score': 0.4320000112056732, 'Recall': 0.7714285850524902, 'Precision': 0.30000001192092896, 'AUC': 0.7769861221313477}
{'Accuracy': 0.6659523844718933, 'F1_Score': 0.4326728582382202, 'Recall': 0.7642857432365417, 'Precision': 0.30174845457077026, 'AUC': 0.7784481644630432}
{'Accuracy': 0.6514285802841187, 'F1_Score': 0.4316770136356354, 'Recall': 0.7942857146263123, 'Precision': 0.2963752746582031, 'AUC': 0.7812207937240601}
{'Accuracy': 0.657619059085846, 'F1_Score': 0.4334121346473694, 'Recall': 0.7857142686843872, 'Precision': 0.29923829436302185, 'AUC': 0.7755277156829834}
{'Accuracy': 0.657619059085846, 'F1_Score': 0.4293650686740875, 'Recall': 0.772857129573822, 'Precision': 0.29725274443626404, 'AUC': 0.7772358655929565}
{'Accuracy': 0.6495237946510315, 'F1_Score': 0.4258970320224762, 'Recall': 0.7799999713897705, 'Precision': 0.29291844367980957, 'AUC': 0.7761236429214478}
{'Accuracy': 0.6521428823471069, 'F1_Score': 0.43085312843322754, 'Recall': 0.7900000214576721, 'Precision': 0.2961971163749695, 'AUC': 0.7793707847595215}
{'Accuracy': 0.6559523940086365, 'F1_Score': 0.4268147647380829, 'Recall': 0.7685714364051819, 'Precision': 0.2954420745372772, 'AUC': 0.776749849319458}
{'Accuracy': 0.6547619104385376, 'F1_Score': 0.4313725531101227, 'Recall': 0.7857142686843872, 'Precision': 0.29729729890823364, 'AUC': 0.7793598175048828}
{'Accuracy': 0.6580952405929565, 'F1_Score': 0.4310618042945862, 'Recall': 0.7771428823471069, 'Precision': 0.2982456088066101, 'AUC': 0.7760889530181885}
{'Accuracy': 0.6554762125015259, 'F1_Score': 0.4282892048358917, 'Recall': 0.7742857336997986, 'Precision': 0.29601311683654785, 'AUC': 0.7781946659088135}
