
{'Accuracy': 0.6535714268684387, 'F1_Score': 0.3267005980014801, 'Recall': 0.5042856931686401, 'Precision': 0.24161532521247864, 'AUC': 0.6185874938964844}
{'Accuracy': 0.633809506893158, 'F1_Score': 0.3176575005054474, 'Recall': 0.5114285945892334, 'Precision': 0.23037323355674744, 'AUC': 0.6229948997497559}
{'Accuracy': 0.590238094329834, 'F1_Score': 0.3311309814453125, 'Recall': 0.6085714101791382, 'Precision': 0.22744260728359222, 'AUC': 0.6208795309066772}
{'Accuracy': 0.6235714554786682, 'F1_Score': 0.3146944046020508, 'Recall': 0.5185714364051819, 'Precision': 0.2258867472410202, 'AUC': 0.6120795607566833}
{'Accuracy': 0.5807142853736877, 'F1_Score': 0.3139851987361908, 'Recall': 0.5757142901420593, 'Precision': 0.21585431694984436, 'AUC': 0.6128775477409363}
{'Accuracy': 0.49642857909202576, 'F1_Score': 0.2779105603694916, 'Recall': 0.581428587436676, 'Precision': 0.18259309232234955, 'AUC': 0.5488383769989014}
{'Accuracy': 0.47238096594810486, 'F1_Score': 0.28331178426742554, 'Recall': 0.6257143020629883, 'Precision': 0.18311037123203278, 'AUC': 0.5434814691543579}
{'Accuracy': 0.44904762506484985, 'F1_Score': 0.27732667326927185, 'Recall': 0.6342856884002686, 'Precision': 0.1774580329656601, 'AUC': 0.5405207872390747}
{'Accuracy': 0.5471428632736206, 'F1_Score': 0.2610722482204437, 'Recall': 0.47999998927116394, 'Precision': 0.1792956292629242, 'AUC': 0.538066565990448}
{'Accuracy': 0.4521428644657135, 'F1_Score': 0.2802627384662628, 'Recall': 0.6399999856948853, 'Precision': 0.17941530048847198, 'AUC': 0.5418044924736023}
{'Accuracy': 0.5126190185546875, 'F1_Score': 0.2697110176086426, 'Recall': 0.5400000214576721, 'Precision': 0.179743230342865, 'AUC': 0.5388467311859131}
{'Accuracy': 0.4521428644657135, 'F1_Score': 0.279812216758728, 'Recall': 0.6385714411735535, 'Precision': 0.1791583150625229, 'AUC': 0.5418349504470825}
{'Accuracy': 0.4833333194255829, 'F1_Score': 0.2732752859592438, 'Recall': 0.5828571319580078, 'Precision': 0.1784776896238327, 'AUC': 0.5365140438079834}
{'Accuracy': 0.5199999809265137, 'F1_Score': 0.2685050666332245, 'Recall': 0.5285714268684387, 'Precision': 0.17996108531951904, 'AUC': 0.5301118493080139}
{'Accuracy': 0.49142858386039734, 'F1_Score': 0.2817753851413727, 'Recall': 0.5985714197158813, 'Precision': 0.18425682187080383, 'AUC': 0.5412232875823975}
{'Accuracy': 0.4642857015132904, 'F1_Score': 0.27976953983306885, 'Recall': 0.6242856979370117, 'Precision': 0.18028052151203156, 'AUC': 0.5349832773208618}
{'Accuracy': 0.4892857074737549, 'F1_Score': 0.27802085876464844, 'Recall': 0.5899999737739563, 'Precision': 0.18185821175575256, 'AUC': 0.5408592224121094}
{'Accuracy': 0.494523823261261, 'F1_Score': 0.2815566956996918, 'Recall': 0.5942857265472412, 'Precision': 0.18447893857955933, 'AUC': 0.5430375337600708}
{'Accuracy': 0.4871428608894348, 'F1_Score': 0.26983049511909485, 'Recall': 0.5685714483261108, 'Precision': 0.17688888311386108, 'AUC': 0.5287684202194214}
{'Accuracy': 0.46142858266830444, 'F1_Score': 0.2731362581253052, 'Recall': 0.6071428656578064, 'Precision': 0.17620232701301575, 'AUC': 0.5348726511001587}
{'Accuracy': 0.4773809611797333, 'F1_Score': 0.2796193063259125, 'Recall': 0.6085714101791382, 'Precision': 0.18150830268859863, 'AUC': 0.5499236583709717}
{'Accuracy': 0.5423809289932251, 'F1_Score': 0.26133742928504944, 'Recall': 0.48571428656578064, 'Precision': 0.17875920236110687, 'AUC': 0.5312375426292419}
{'Accuracy': 0.4883333444595337, 'F1_Score': 0.2781323492527008, 'Recall': 0.5914285778999329, 'Precision': 0.1818181872367859, 'AUC': 0.5354130268096924}
{'Accuracy': 0.5140476226806641, 'F1_Score': 0.2728891968727112, 'Recall': 0.5471428632736206, 'Precision': 0.1817750334739685, 'AUC': 0.5359294414520264}
{'Accuracy': 0.4773809611797333, 'F1_Score': 0.27867236733436584, 'Recall': 0.6057142615318298, 'Precision': 0.18096457421779633, 'AUC': 0.5462081432342529}
{'Accuracy': 0.49666666984558105, 'F1_Score': 0.278005450963974, 'Recall': 0.581428587436676, 'Precision': 0.1826750487089157, 'AUC': 0.5376312732696533}
