
{'Accuracy': 0.5807142853736877, 'F1_Score': 0.3337116837501526, 'Recall': 0.6299999952316284, 'Precision': 0.22696860134601593, 'AUC': 0.6350112557411194}
{'Accuracy': 0.5807142853736877, 'F1_Score': 0.3276059627532959, 'Recall': 0.6128571629524231, 'Precision': 0.22355394065380096, 'AUC': 0.6379867792129517}
{'Accuracy': 0.5659523606300354, 'F1_Score': 0.3295329213142395, 'Recall': 0.6399999856948853, 'Precision': 0.22189202904701233, 'AUC': 0.6359513998031616}
{'Accuracy': 0.5845237970352173, 'F1_Score': 0.3301343619823456, 'Recall': 0.6142857074737549, 'Precision': 0.2257217913866043, 'AUC': 0.6322917938232422}
{'Accuracy': 0.5895237922668457, 'F1_Score': 0.3343629240989685, 'Recall': 0.618571400642395, 'Precision': 0.2291005253791809, 'AUC': 0.6329604387283325}
{'Accuracy': 0.5745238065719604, 'F1_Score': 0.3339545428752899, 'Recall': 0.6399999856948853, 'Precision': 0.22592031955718994, 'AUC': 0.6363118886947632}
{'Accuracy': 0.5723809599876404, 'F1_Score': 0.3293502628803253, 'Recall': 0.6299999952316284, 'Precision': 0.2229524701833725, 'AUC': 0.635030210018158}
{'Accuracy': 0.5873809456825256, 'F1_Score': 0.33269158005714417, 'Recall': 0.6171428561210632, 'Precision': 0.2277279943227768, 'AUC': 0.629146933555603}
{'Accuracy': 0.5742856860160828, 'F1_Score': 0.3313388228416443, 'Recall': 0.6328571438789368, 'Precision': 0.22441743314266205, 'AUC': 0.6366481781005859}
{'Accuracy': 0.5859524011611938, 'F1_Score': 0.32986512780189514, 'Recall': 0.6114285588264465, 'Precision': 0.22585752606391907, 'AUC': 0.6329792141914368}
{'Accuracy': 0.5771428346633911, 'F1_Score': 0.32676270604133606, 'Recall': 0.6157143115997314, 'Precision': 0.22239422798156738, 'AUC': 0.6359611749649048}
{'Accuracy': 0.5692856907844543, 'F1_Score': 0.3287569582462311, 'Recall': 0.6328571438789368, 'Precision': 0.22205513715744019, 'AUC': 0.6396216154098511}
{'Accuracy': 0.575952410697937, 'F1_Score': 0.3307027518749237, 'Recall': 0.6285714507102966, 'Precision': 0.22437532246112823, 'AUC': 0.6334747076034546}
{'Accuracy': 0.5876190662384033, 'F1_Score': 0.33281973004341125, 'Recall': 0.6171428561210632, 'Precision': 0.2278480976819992, 'AUC': 0.6321032047271729}
{'Accuracy': 0.5735714435577393, 'F1_Score': 0.3364208936691284, 'Recall': 0.6485714316368103, 'Precision': 0.22711355984210968, 'AUC': 0.6405253410339355}
{'Accuracy': 0.5723809599876404, 'F1_Score': 0.3283470571041107, 'Recall': 0.6271428465843201, 'Precision': 0.22239108383655548, 'AUC': 0.6326457262039185}
{'Accuracy': 0.5697619318962097, 'F1_Score': 0.29441624879837036, 'Recall': 0.5385714173316956, 'Precision': 0.20257925987243652, 'AUC': 0.5871579647064209}
{'Accuracy': 0.574999988079071, 'F1_Score': 0.30136987566947937, 'Recall': 0.550000011920929, 'Precision': 0.2075471729040146, 'AUC': 0.5851958990097046}
{'Accuracy': 0.5954762101173401, 'F1_Score': 0.2999587953090668, 'Recall': 0.5199999809265137, 'Precision': 0.2107701152563095, 'AUC': 0.586586594581604}
{'Accuracy': 0.5833333134651184, 'F1_Score': 0.3033439517021179, 'Recall': 0.5442857146263123, 'Precision': 0.2102649062871933, 'AUC': 0.5897114276885986}
{'Accuracy': 0.581428587436676, 'F1_Score': 0.2911290228366852, 'Recall': 0.5157142877578735, 'Precision': 0.20280899107456207, 'AUC': 0.5802028179168701}
{'Accuracy': 0.5804761648178101, 'F1_Score': 0.2963258922100067, 'Recall': 0.5299999713897705, 'Precision': 0.2056540995836258, 'AUC': 0.5903196334838867}
{'Accuracy': 0.5771428346633911, 'F1_Score': 0.2996845543384552, 'Recall': 0.5428571701049805, 'Precision': 0.206971675157547, 'AUC': 0.584701657295227}
{'Accuracy': 0.583809494972229, 'F1_Score': 0.29459241032600403, 'Recall': 0.5214285850524902, 'Precision': 0.20528684556484222, 'AUC': 0.5822763442993164}
{'Accuracy': 0.5666666626930237, 'F1_Score': 0.2962103486061096, 'Recall': 0.5471428632736206, 'Precision': 0.20307528972625732, 'AUC': 0.5888113975524902}
{'Accuracy': 0.5807142853736877, 'F1_Score': 0.2992439270019531, 'Recall': 0.5371428728103638, 'Precision': 0.20739106833934784, 'AUC': 0.5864418745040894}
{'Accuracy': 0.5823809504508972, 'F1_Score': 0.2972756326198578, 'Recall': 0.5299999713897705, 'Precision': 0.20657014846801758, 'AUC': 0.5847201943397522}
{'Accuracy': 0.5588095188140869, 'F1_Score': 0.2940952479839325, 'Recall': 0.5514285564422607, 'Precision': 0.20051948726177216, 'AUC': 0.5779061317443848}
{'Accuracy': 0.5766666531562805, 'F1_Score': 0.2944444417953491, 'Recall': 0.5299999713897705, 'Precision': 0.20384615659713745, 'AUC': 0.5809502005577087}
{'Accuracy': 0.5883333086967468, 'F1_Score': 0.29801055788993835, 'Recall': 0.5242857336997986, 'Precision': 0.2081678956747055, 'AUC': 0.5902424454689026}
{'Accuracy': 0.5757142901420593, 'F1_Score': 0.29897719621658325, 'Recall': 0.5428571701049805, 'Precision': 0.20629750192165375, 'AUC': 0.5874571204185486}
