
{'Accuracy': 0.5395237803459167, 'F1_Score': 0.3092857003211975, 'Recall': 0.618571400642395, 'Precision': 0.20619048178195953, 'AUC': 0.5984477996826172}
{'Accuracy': 0.5433333516120911, 'F1_Score': 0.3065798878669739, 'Recall': 0.6057142615318298, 'Precision': 0.20522749423980713, 'AUC': 0.596986711025238}
{'Accuracy': 0.5495238304138184, 'F1_Score': 0.3059427738189697, 'Recall': 0.595714271068573, 'Precision': 0.20582428574562073, 'AUC': 0.595537543296814}
{'Accuracy': 0.545714259147644, 'F1_Score': 0.304157555103302, 'Recall': 0.595714271068573, 'Precision': 0.20421156287193298, 'AUC': 0.5969016551971436}
{'Accuracy': 0.5452380776405334, 'F1_Score': 0.3049490451812744, 'Recall': 0.5985714197158813, 'Precision': 0.20458984375, 'AUC': 0.5954999923706055}
{'Accuracy': 0.543571412563324, 'F1_Score': 0.31166964769363403, 'Recall': 0.6200000047683716, 'Precision': 0.20815347135066986, 'AUC': 0.6003342866897583}
{'Accuracy': 0.5542857050895691, 'F1_Score': 0.3142857253551483, 'Recall': 0.6128571629524231, 'Precision': 0.21133005619049072, 'AUC': 0.6026467084884644}
{'Accuracy': 0.5416666865348816, 'F1_Score': 0.3083004057407379, 'Recall': 0.6128571629524231, 'Precision': 0.2059529572725296, 'AUC': 0.5953999757766724}
{'Accuracy': 0.5354762077331543, 'F1_Score': 0.30986911058425903, 'Recall': 0.6257143020629883, 'Precision': 0.20592384040355682, 'AUC': 0.5968056917190552}
{'Accuracy': 0.5535714030265808, 'F1_Score': 0.31091511249542236, 'Recall': 0.604285717010498, 'Precision': 0.20930232107639313, 'AUC': 0.5954367518424988}
{'Accuracy': 0.5478571653366089, 'F1_Score': 0.31070780754089355, 'Recall': 0.6114285588264465, 'Precision': 0.20827250182628632, 'AUC': 0.5965248942375183}
{'Accuracy': 0.5383333563804626, 'F1_Score': 0.30725258588790894, 'Recall': 0.6142857074737549, 'Precision': 0.20485945045948029, 'AUC': 0.598232626914978}
{'Accuracy': 0.5397619009017944, 'F1_Score': 0.308902382850647, 'Recall': 0.6171428561210632, 'Precision': 0.20600858330726624, 'AUC': 0.5971779823303223}
